YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1982,5.5,CHINA,CHINA:SICHUAN PROVINCE:GARZE,31.907,99.931,90,180
1982,6.2,EL SALVADOR,EL SALVADOR:  SAN SALVADOR; GUATEMALA,13.313,-89.339,90,0
1982,6.8,JAPAN,"IBARAKI, JAPAN",36.194,141.702,90,180
1982,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.597,165.931,0,180
1982,5.6,INDONESIA,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577,0,180
1982,5.1,HONDURAS,HONDURAS-GUATEMALA-EL SALVADOR,14.487,-89.121,90,0
1982,4.4,ITALY,ITALY:  PERUGIA,43.164,12.586,90,90
1982,5.5,MACEDONIA,"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",40.883,19.59,90,90
1982,6,YEMEN,YEMEN:  DHAMAR,14.701,44.379,90,90
1982,6.6,AFGHANISTAN,AFGHANISTAN:  NORTHEASTERN,36.148,69.011,90,90
1982,7.7,TONGA,TONGA TRENCH,-24.133,-175.864,0,-90
1982,5.9,INDONESIA,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,0,180
1982,6.1,JAPAN,JAPAN:  S. OF HONSHU ISLAND,33.826,139.434,90,180
1983,7.2,GREECE,GREECE: IONIAN SEA,38.026,20.228,90,90
1983,6.7,MEXICO,MEXICO:  OAXACA:   SALINA CRUZ,16.147,-95.232,90,-90
1983,6.2,CHINA,CHINA:XINJIANG WEIWUER ZIZHIQU PROVINCE:WUQUA S,39.945,75.135,90,90
1983,4.7,MACEDONIA,BALKANS NW:  MACEDONIA:  SKOPJE,41.959,21.54,90,90
1983,5.2,TAJIKISTAN,"TAJIKISTAN:  GARM, KHAZORA",38.841,70.727,90,90
1983,6.5,INDONESIA,INDONESIA:  BANDA SEA,-4.056,127.924,0,180
1983,7.6,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND,-4.883,153.581,0,180
1983,6.2,GREECE,GREECE: VONITSA,38.294,20.262,90,90
1983,4.9,IRAN,"IRAN:  TEHRAN, DAMAVOND, AMOI",35.953,52.264,90,90
1983,4.9,COLOMBIA,"COLOMBIA:  SW, POPAYAN",2.461,-76.686,90,0
1983,4.6,TURKMENISTAN,TURKMENISTAN:  KUM-DAG,39.042,48.714,90,90
1983,7.3,COSTA RICA,"COSTA RICA:  SE, PANAMA: W",8.717,-83.123,90,0
1983,6.6,INDONESIA,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722,90,180
1983,5.6,CHINA,CHINA:XINJIANG WEIWUER ZIZHIQU PROVINCE:WUQUA,40.025,75.26,90,90
1983,6.5,PERU,PERU:  CHIMBOTE,-4.843,-78.103,0,0
1983,5.9,THAILAND,THAILAND:  BANGKOK,14.926,99.023,90,180
